currency,city,meal,mcmeal,beer restaurant,milk,rice,potato,water,cigarettes,coffee,ticket,rent,country,latitude,longitude,group,cityproper,overall_rank
€,Bucharest,"['Meal, Inexpensive Restaurant ', 11.06, 34]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.04, 44]","['Domestic Beer (0.5 liter draught) ', 3.02, 53]","['Milk (regular), (1 liter) ', 1.58, 16]","['Rice (white), (1kg) ', 1.62, 94]","['Potato (1kg) ', 1.02, 77]","['Water (1.5 liter bottle) ', 0.75, 56]","['Cigarettes 20 Pack (Marlboro) ', 5.43, 51]","['Cappuccino (regular) ', 2.89, 75]","['One-way Ticket (Local Transport) ', 0.6, 70]","['Apartment (3 bedrooms) in City Centre ', 908.56, 144]",Romania,44.4267674,26.1025384,3,Bucharest,149
€,Budapest,"['Meal, Inexpensive Restaurant ', 10.19, 40]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.64, 40]","['Domestic Beer (0.5 liter draught) ', 2.55, 60]","['Milk (regular), (1 liter) ', 0.99, 61]","['Rice (white), (1kg) ', 1.86, 82]","['Potato (1kg) ', 1.13, 73]","['Water (1.5 liter bottle) ', 0.48, 75]","['Cigarettes 20 Pack (Marlboro) ', 5.6, 46]","['Cappuccino (regular) ', 2.2, 90]","['One-way Ticket (Local Transport) ', 1.15, 55]","['Apartment (3 bedrooms) in City Centre ', 1014.36, 135]",Hungary,47.497912,19.040235,3,Budapest,151
€,Burgos Spain,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.5, 41]","['Domestic Beer (0.5 liter draught) ', 2.75, 56]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 1.51, 97]","['Potato (1kg) ', 1.38, 57]","['Water (1.5 liter bottle) ', 0.62, 66]","['Cigarettes 20 Pack (Marlboro) ', 4.38, 68]","['Cappuccino (regular) ', 1.58, 117]","['One-way Ticket (Local Transport) ', 1.2, 54]","['Apartment (3 bedrooms) in City Centre ', 875.0, 147]", Spain,42.3504659,-3.6893545,2,Burgos,163
€,Bydgoszcz,"['Meal, Inexpensive Restaurant ', 7.02, 54]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.02, 45]","['Domestic Beer (0.5 liter draught) ', 2.81, 55]","['Milk (regular), (1 liter) ', 0.9, 70]","['Rice (white), (1kg) ', 0.82, 121]","['Potato (1kg) ', 0.67, 95]","['Water (1.5 liter bottle) ', 0.48, 75]","['Cigarettes 20 Pack (Marlboro) ', 4.33, 69]","['Cappuccino (regular) ', 3.08, 64]","['One-way Ticket (Local Transport) ', 0.89, 65]","['Apartment (3 bedrooms) in City Centre ', 1053.21, 132]",Poland,53.1234804,18.0084378,3,Bydgoszcz,162
€,Cadiz Spain,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 2.65, 58]","['Milk (regular), (1 liter) ', 0.93, 67]","['Rice (white), (1kg) ', 1.15, 115]","['Potato (1kg) ', 0.85, 86]","['Water (1.5 liter bottle) ', 0.84, 47]","['Cigarettes 20 Pack (Marlboro) ', 5.5, 48]","['Cappuccino (regular) ', 1.79, 107]","['One-way Ticket (Local Transport) ', 1.1, 57]","['Apartment (3 bedrooms) in City Centre ', 966.67, 139]", Spain,36.5210142,-6.2804565,2,Cadiz,155
€,Cardiff,"['Meal, Inexpensive Restaurant ', 17.8, 12]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.31, 33]","['Domestic Beer (0.5 liter draught) ', 5.34, 27]","['Milk (regular), (1 liter) ', 1.54, 20]","['Rice (white), (1kg) ', 2.43, 50]","['Potato (1kg) ', 1.36, 59]","['Water (1.5 liter bottle) ', 1.32, 20]","['Cigarettes 20 Pack (Marlboro) ', 16.91, 3]","['Cappuccino (regular) ', 3.96, 17]","['One-way Ticket (Local Transport) ', 2.61, 34]","['Apartment (3 bedrooms) in City Centre ', 2008.76, 39]", United Kingdom,51.483707,-3.1680962,1,Cardiff,26
€,Cluj-Napoca,"['Meal, Inexpensive Restaurant ', 10.05, 41]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 6.03, 51]","['Domestic Beer (0.5 liter draught) ', 2.81, 55]","['Milk (regular), (1 liter) ', 1.44, 28]","['Rice (white), (1kg) ', 1.55, 96]","['Potato (1kg) ', 0.85, 86]","['Water (1.5 liter bottle) ', 0.72, 59]","['Cigarettes 20 Pack (Marlboro) ', 5.23, 54]","['Cappuccino (regular) ', 2.84, 78]","['One-way Ticket (Local Transport) ', 0.6, 70]","['Apartment (3 bedrooms) in City Centre ', 958.95, 140]",Romania,46.7712101,23.6236353,3,Cluj-Napoca,156
€,Cologne,"['Meal, Inexpensive Restaurant ', 13.0, 25]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.04, 56]","['Rice (white), (1kg) ', 2.9, 16]","['Potato (1kg) ', 1.48, 49]","['Water (1.5 liter bottle) ', 0.76, 55]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.64, 31]","['One-way Ticket (Local Transport) ', 3.2, 21]","['Apartment (3 bedrooms) in City Centre ', 1795.42, 55]",Germany,50.937531,6.9602786,2,Cologne,47
€,Constanta,"['Meal, Inexpensive Restaurant ', 11.53, 31]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 6.03, 51]","['Domestic Beer (0.5 liter draught) ', 2.01, 65]","['Milk (regular), (1 liter) ', 1.64, 11]","['Rice (white), (1kg) ', 1.77, 87]","['Potato (1kg) ', 0.82, 89]","['Water (1.5 liter bottle) ', 0.72, 59]","['Cigarettes 20 Pack (Marlboro) ', 5.13, 57]","['Cappuccino (regular) ', 2.7, 81]","['One-way Ticket (Local Transport) ', 0.6, 70]","['Apartment (3 bedrooms) in City Centre ', 793.44, 155]",Romania,44.1598013,28.6348138,3,Constanta,160
€,Copenhagen,"['Meal, Inexpensive Restaurant ', 20.11, 5]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 13.41, 4]","['Domestic Beer (0.5 liter draught) ', 8.04, 5]","['Milk (regular), (1 liter) ', 1.83, 5]","['Rice (white), (1kg) ', 2.53, 46]","['Potato (1kg) ', 2.16, 15]","['Water (1.5 liter bottle) ', 1.53, 12]","['Cigarettes 20 Pack (Marlboro) ', 8.45, 28]","['Cappuccino (regular) ', 5.97, 1]","['One-way Ticket (Local Transport) ', 3.22, 20]","['Apartment (3 bedrooms) in City Centre ', 2924.21, 10]",Denmark,55.6760968,12.5683371,1,Copenhagen,8
