currency,city,meal,mcmeal,beer restaurant,milk,rice,potato,water,cigarettes,coffee,ticket,rent,country,latitude,longitude,group,cityproper,overall_rank
€,Leipzig,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 2.9, 16]","['Potato (1kg) ', 1.5, 47]","['Water (1.5 liter bottle) ', 0.91, 40]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.4, 45]","['One-way Ticket (Local Transport) ', 3.2, 21]","['Apartment (3 bedrooms) in City Centre ', 1275.0, 103]",Germany,51.3396955,12.3730747,2,Leipzig,76
€,Leon,"['Meal, Inexpensive Restaurant ', 10.26, 38]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 5.47, 52]","['Domestic Beer (0.5 liter draught) ', 1.37, 68]","['Milk (regular), (1 liter) ', 1.12, 48]","['Rice (white), (1kg) ', 1.19, 114]","['Potato (1kg) ', 1.57, 42]","['Water (1.5 liter bottle) ', 0.82, 49]","['Cigarettes 20 Pack (Marlboro) ', 0.0, 76]","['Cappuccino (regular) ', 2.96, 72]","['One-way Ticket (Local Transport) ', 0.59, 71]","['Apartment (3 bedrooms) in City Centre ', 349.47, 161]", Spain,42.5983611,-5.5718779,2,Leon,166
€,Leuven,"['Meal, Inexpensive Restaurant ', 14.75, 17]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.15, 47]","['Rice (white), (1kg) ', 3.01, 11]","['Potato (1kg) ', 1.61, 39]","['Water (1.5 liter bottle) ', 1.01, 33]","['Cigarettes 20 Pack (Marlboro) ', 7.5, 32]","['Cappuccino (regular) ', 3.73, 27]","['One-way Ticket (Local Transport) ', 2.5, 37]","['Apartment (3 bedrooms) in City Centre ', 1575.0, 69]", Belgium,50.8822871,4.7137645,2,Leuven,51
€,Liege,"['Meal, Inexpensive Restaurant ', 16.5, 14]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 0.97, 63]","['Rice (white), (1kg) ', 1.31, 108]","['Potato (1kg) ', 0.91, 82]","['Water (1.5 liter bottle) ', 0.74, 57]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 2.88, 76]","['One-way Ticket (Local Transport) ', 2.45, 38]","['Apartment (3 bedrooms) in City Centre ', 1114.0, 122]", Belgium,50.6329586,5.5697498,2,Liege,112
€,Lille,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.25, 14]","['Milk (regular), (1 liter) ', 1.25, 39]","['Rice (white), (1kg) ', 2.57, 43]","['Potato (1kg) ', 1.78, 29]","['Water (1.5 liter bottle) ', 0.58, 70]","['Cigarettes 20 Pack (Marlboro) ', 12.0, 16]","['Cappuccino (regular) ', 2.95, 73]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 1306.25, 98]", France,50.62925,3.057256,2,Lille,75
€,Limerick,"['Meal, Inexpensive Restaurant ', 18.0, 11]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 5.65, 20]","['Milk (regular), (1 liter) ', 1.2, 42]","['Rice (white), (1kg) ', 1.48, 98]","['Potato (1kg) ', 1.95, 20]","['Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ', 162.86, 1]","['Cigarettes 20 Pack (Marlboro) ', 15.5, 8]","['Cappuccino (regular) ', 3.42, 44]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 2316.67, 23]", Ireland,52.663839,-8.6267299,1,Limerick,35
€,Limoges France,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.75, 19]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 0.93, 67]","['Rice (white), (1kg) ', 2.2, 65]","['Potato (1kg) ', 2.0, 18]","['Water (1.5 liter bottle) ', 0.38, 80]","['Cigarettes 20 Pack (Marlboro) ', 10.5, 20]","['Cappuccino (regular) ', 2.62, 83]","['One-way Ticket (Local Transport) ', 1.6, 50]","['Apartment (3 bedrooms) in City Centre ', 900.0, 145]", France,45.833619,1.261105,2,Limoges,118
€,Linz,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.37, 31]","['Rice (white), (1kg) ', 2.26, 60]","['Potato (1kg) ', 2.12, 16]","['Water (1.5 liter bottle) ', 0.71, 60]","['Cigarettes 20 Pack (Marlboro) ', 5.8, 43]","['Cappuccino (regular) ', 3.42, 44]","['One-way Ticket (Local Transport) ', 2.6, 35]","['Apartment (3 bedrooms) in City Centre ', 1350.0, 93]", Austria,48.30694,14.28583,2,Linz,77
€,Lisbon,"['Meal, Inexpensive Restaurant ', 12.5, 28]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.9, 28]","['Domestic Beer (0.5 liter draught) ', 2.5, 61]","['Milk (regular), (1 liter) ', 0.97, 63]","['Rice (white), (1kg) ', 1.47, 99]","['Potato (1kg) ', 1.78, 29]","['Water (1.5 liter bottle) ', 0.82, 49]","['Cigarettes 20 Pack (Marlboro) ', 5.6, 46]","['Cappuccino (regular) ', 2.39, 87]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 2648.72, 14]",Portugal,38.7222524,-9.1393366,2,Lisbon,96
€,Lodz,"['Meal, Inexpensive Restaurant ', 9.36, 45]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.02, 45]","['Domestic Beer (0.5 liter draught) ', 2.81, 55]","['Milk (regular), (1 liter) ', 0.9, 70]","['Rice (white), (1kg) ', 1.09, 117]","['Potato (1kg) ', 0.71, 94]","['Water (1.5 liter bottle) ', 0.48, 75]","['Cigarettes 20 Pack (Marlboro) ', 4.45, 66]","['Cappuccino (regular) ', 3.08, 64]","['One-way Ticket (Local Transport) ', 1.03, 59]","['Apartment (3 bedrooms) in City Centre ', 953.19, 141]",Poland,51.7592485,19.4559833,3,Lodz,157
€,London,"['Meal, Inexpensive Restaurant ', 23.73, 3]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.49, 22]","['Domestic Beer (0.5 liter draught) ', 7.71, 7]","['Milk (regular), (1 liter) ', 1.57, 17]","['Rice (white), (1kg) ', 2.6, 40]","['Potato (1kg) ', 1.42, 55]","['Water (1.5 liter bottle) ', 1.39, 15]","['Cigarettes 20 Pack (Marlboro) ', 17.8, 1]","['Cappuccino (regular) ', 4.42, 9]","['One-way Ticket (Local Transport) ', 3.32, 16]","['Apartment (3 bedrooms) in City Centre ', 5338.46, 1]", United Kingdom,51.5072178,-0.1275862,1,London,6
€,Lublin,"['Meal, Inexpensive Restaurant ', 9.36, 45]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.02, 45]","['Domestic Beer (0.5 liter draught) ', 3.04, 52]","['Milk (regular), (1 liter) ', 0.9, 70]","['Rice (white), (1kg) ', 1.34, 106]","['Potato (1kg) ', 0.73, 93]","['Water (1.5 liter bottle) ', 0.47, 76]","['Cigarettes 20 Pack (Marlboro) ', 3.98, 72]","['Cappuccino (regular) ', 2.95, 73]","['One-way Ticket (Local Transport) ', 0.94, 64]","['Apartment (3 bedrooms) in City Centre ', 858.17, 151]",Poland,51.2464536,22.5684463,3,Lublin,165
€,Lyon,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 7.0, 9]","['Milk (regular), (1 liter) ', 1.24, 40]","['Rice (white), (1kg) ', 2.3, 57]","['Potato (1kg) ', 2.3, 8]","['Water (1.5 liter bottle) ', 0.66, 63]","['Cigarettes 20 Pack (Marlboro) ', 11.5, 17]","['Cappuccino (regular) ', 3.22, 57]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 1525.33, 73]",France,45.764043,4.835659,2,Lyon,53
€,Maastricht,"['Meal, Inexpensive Restaurant ', 16.75, 13]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.1, 50]","['Rice (white), (1kg) ', 2.92, 14]","['Potato (1kg) ', 1.82, 26]","['Water (1.5 liter bottle) ', 0.69, 61]","['Cigarettes 20 Pack (Marlboro) ', 12.5, 13]","['Cappuccino (regular) ', 3.48, 41]","['One-way Ticket (Local Transport) ', 3.25, 19]","['Apartment (3 bedrooms) in City Centre ', 1825.0, 54]", Netherlands,50.8513682,5.6909725,2,Maastricht,30
€,Madrid,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 3.5, 48]","['Milk (regular), (1 liter) ', 1.08, 52]","['Rice (white), (1kg) ', 1.51, 97]","['Potato (1kg) ', 1.67, 35]","['Water (1.5 liter bottle) ', 0.86, 45]","['Cigarettes 20 Pack (Marlboro) ', 5.6, 46]","['Cappuccino (regular) ', 2.49, 86]","['One-way Ticket (Local Transport) ', 1.5, 51]","['Apartment (3 bedrooms) in City Centre ', 2289.76, 24]",Spain,40.4167754,-3.7037902,2,Madrid,88
€,Magdeburg,"['Meal, Inexpensive Restaurant ', 12.25, 29]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 4.25, 37]","['Milk (regular), (1 liter) ', 1.01, 59]","['Rice (white), (1kg) ', 2.67, 34]","['Potato (1kg) ', 1.42, 55]","['Water (1.5 liter bottle) ', 0.81, 50]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.04, 67]","['One-way Ticket (Local Transport) ', 2.6, 35]","['Apartment (3 bedrooms) in City Centre ', 1066.67, 128]", Germany,52.1205333,11.6276237,2,Magdeburg,110
€,Mainz,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.98, 16]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.01, 59]","['Rice (white), (1kg) ', 2.73, 29]","['Potato (1kg) ', 1.56, 43]","['Water (1.5 liter bottle) ', 0.94, 38]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.36, 49]","['One-way Ticket (Local Transport) ', 3.3, 17]","['Apartment (3 bedrooms) in City Centre ', 1500.0, 75]", Germany,49.9928617,8.2472526,2,Mainz,65
€,Malaga,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 2.65, 58]","['Milk (regular), (1 liter) ', 1.02, 58]","['Rice (white), (1kg) ', 1.33, 107]","['Potato (1kg) ', 1.59, 40]","['Water (1.5 liter bottle) ', 0.89, 42]","['Cigarettes 20 Pack (Marlboro) ', 5.5, 48]","['Cappuccino (regular) ', 1.86, 103]","['One-way Ticket (Local Transport) ', 1.4, 53]","['Apartment (3 bedrooms) in City Centre ', 1776.92, 56]",Spain,36.7211784,-4.4217199,2,Malaga,127
€,Malmo,"['Meal, Inexpensive Restaurant ', 10.56, 36]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.56, 12]","['Domestic Beer (0.5 liter draught) ', 7.04, 8]","['Milk (regular), (1 liter) ', 1.46, 26]","['Rice (white), (1kg) ', 2.95, 13]","['Potato (1kg) ', 1.47, 50]","['Water (1.5 liter bottle) ', 1.22, 24]","['Cigarettes 20 Pack (Marlboro) ', 6.6, 33]","['Cappuccino (regular) ', 3.93, 19]","['One-way Ticket (Local Transport) ', 2.73, 32]","['Apartment (3 bedrooms) in City Centre ', 1345.96, 94]",Sweden,55.604981,13.003822,1,Malmo,49
€,Mannheim,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.25, 37]","['Milk (regular), (1 liter) ', 1.01, 59]","['Rice (white), (1kg) ', 2.74, 28]","['Potato (1kg) ', 1.4, 56]","['Water (1.5 liter bottle) ', 0.81, 50]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.28, 54]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 1382.0, 87]",Germany,49.4874592,8.4660395,2,Mannheim,79
€,Marburg Germany,"['Meal, Inexpensive Restaurant ', 11.0, 35]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 0.99, 61]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.45, 52]","['Water (1.5 liter bottle) ', 0.73, 58]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.12, 62]","['One-way Ticket (Local Transport) ', 2.73, 32]","['Apartment (3 bedrooms) in City Centre ', 1200.0, 112]", Germany,50.8018843,8.7657677,2,Marburg,103
€,Marseille,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 7.0, 9]","['Milk (regular), (1 liter) ', 1.16, 46]","['Rice (white), (1kg) ', 2.9, 16]","['Potato (1kg) ', 2.27, 11]","['Water (1.5 liter bottle) ', 1.21, 25]","['Cigarettes 20 Pack (Marlboro) ', 12.0, 16]","['Cappuccino (regular) ', 2.97, 71]","['One-way Ticket (Local Transport) ', 1.8, 47]","['Apartment (3 bedrooms) in City Centre ', 1363.33, 90]",France,43.296482,5.36978,2,Marseille,60
€,Maynooth Ireland,"['Meal, Inexpensive Restaurant ', 18.0, 11]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.1, 24]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.32, 34]","['Rice (white), (1kg) ', 1.81, 84]","['Potato (1kg) ', 1.95, 20]","['Water (1.5 liter bottle) ', 1.73, 9]","['Cigarettes 20 Pack (Marlboro) ', 16.45, 6]","['Cappuccino (regular) ', 3.74, 26]","['One-way Ticket (Local Transport) ', 2.2, 42]","['Apartment (3 bedrooms) in City Centre ', 4966.67, 2]", Ireland,53.3812896,-6.5918499,1,Maynooth,14
€,Mechelen,"['Meal, Inexpensive Restaurant ', 20.0, 6]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.88, 18]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.1, 50]","['Rice (white), (1kg) ', 2.42, 51]","['Potato (1kg) ', 1.58, 41]","['Water (1.5 liter bottle) ', 0.79, 52]","['Cigarettes 20 Pack (Marlboro) ', 8.5, 27]","['Cappuccino (regular) ', 3.48, 41]","['One-way Ticket (Local Transport) ', 2.5, 37]","['Apartment (3 bedrooms) in City Centre ', 1124.29, 121]", Belgium,51.0259143,4.4775553,2,Mechelen,84
€,Milan,"['Meal, Inexpensive Restaurant ', 20.0, 6]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.59, 15]","['Rice (white), (1kg) ', 3.17, 9]","['Potato (1kg) ', 1.74, 31]","['Water (1.5 liter bottle) ', 0.5, 74]","['Cigarettes 20 Pack (Marlboro) ', 6.0, 40]","['Cappuccino (regular) ', 1.9, 101]","['One-way Ticket (Local Transport) ', 2.2, 42]","['Apartment (3 bedrooms) in City Centre ', 2846.29, 11]",Italy,45.4642035,9.189982,2,Milan,50
€,Msida,"['Meal, Inexpensive Restaurant ', 8.5, 49]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.7, 30]","['Domestic Beer (0.5 liter draught) ', 2.0, 66]","['Milk (regular), (1 liter) ', 1.22, 41]","['Rice (white), (1kg) ', 3.0, 12]","['Potato (1kg) ', 1.74, 31]","['Water (1.5 liter bottle) ', 0.84, 47]","['Cigarettes 20 Pack (Marlboro) ', 5.55, 47]","['Cappuccino (regular) ', 1.98, 95]","['One-way Ticket (Local Transport) ', 1.75, 48]","['Apartment (3 bedrooms) in City Centre ', 1433.33, 82]", Malta,35.8993715,14.4845673,2,Msida,128
€,Munich,"['Meal, Inexpensive Restaurant ', 16.5, 14]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.15, 47]","['Rice (white), (1kg) ', 2.71, 31]","['Potato (1kg) ', 1.65, 36]","['Water (1.5 liter bottle) ', 0.88, 43]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.81, 24]","['One-way Ticket (Local Transport) ', 3.7, 8]","['Apartment (3 bedrooms) in City Centre ', 2734.47, 12]",Germany,48.1351253,11.5819806,2,Munich,17
€,Munster,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.06, 54]","['Rice (white), (1kg) ', 2.73, 29]","['Potato (1kg) ', 1.85, 23]","['Water (1.5 liter bottle) ', 1.14, 28]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.26, 56]","['One-way Ticket (Local Transport) ', 2.9, 29]","['Apartment (3 bedrooms) in City Centre ', 1745.0, 60]",Germany,51.9606649,7.6261347,2,Munster,68
€,Murcia,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.5, 32]","['Domestic Beer (0.5 liter draught) ', 2.0, 66]","['Milk (regular), (1 liter) ', 1.04, 56]","['Rice (white), (1kg) ', 1.25, 111]","['Potato (1kg) ', 1.55, 44]","['Water (1.5 liter bottle) ', 0.57, 71]","['Cigarettes 20 Pack (Marlboro) ', 5.47, 50]","['Cappuccino (regular) ', 1.88, 102]","['One-way Ticket (Local Transport) ', 1.4, 53]","['Apartment (3 bedrooms) in City Centre ', 1016.67, 134]",Spain,37.9922399,-1.1306544,2,Murcia,150
€,Nantes,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 7.0, 9]","['Milk (regular), (1 liter) ', 1.05, 55]","['Rice (white), (1kg) ', 2.58, 42]","['Potato (1kg) ', 2.17, 14]","['Water (1.5 liter bottle) ', 0.38, 80]","['Cigarettes 20 Pack (Marlboro) ', 10.5, 20]","['Cappuccino (regular) ', 2.62, 83]","['One-way Ticket (Local Transport) ', 1.8, 47]","['Apartment (3 bedrooms) in City Centre ', 1450.0, 80]",France,47.218371,-1.553621,2,Nantes,74
€,Naples,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.75, 8]","['Rice (white), (1kg) ', 2.31, 56]","['Potato (1kg) ', 1.51, 46]","['Water (1.5 liter bottle) ', 0.55, 73]","['Cigarettes 20 Pack (Marlboro) ', 6.0, 40]","['Cappuccino (regular) ', 1.85, 104]","['One-way Ticket (Local Transport) ', 1.5, 51]","['Apartment (3 bedrooms) in City Centre ', 1627.5, 67]",Italy,40.8517983,14.26812,2,Naples,106
€,Nice,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.36, 32]","['Rice (white), (1kg) ', 2.04, 73]","['Potato (1kg) ', 1.87, 22]","['Water (1.5 liter bottle) ', 0.38, 80]","['Cigarettes 20 Pack (Marlboro) ', 11.0, 18]","['Cappuccino (regular) ', 3.04, 67]","['One-way Ticket (Local Transport) ', 1.7, 49]","['Apartment (3 bedrooms) in City Centre ', 1688.75, 64]",France,43.7101728,7.2619532,2,Nice,71
€,Nicosia,"['Meal, Inexpensive Restaurant ', 11.5, 32]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.0, 46]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.66, 10]","['Rice (white), (1kg) ', 2.26, 60]","['Potato (1kg) ', 1.24, 66]","['Water (1.5 liter bottle) ', 0.82, 49]","['Cigarettes 20 Pack (Marlboro) ', 5.0, 60]","['Cappuccino (regular) ', 3.26, 56]","['One-way Ticket (Local Transport) ', 2.4, 39]","['Apartment (3 bedrooms) in City Centre ', 1172.35, 116]", Cyprus,35.1855659,33.3822764,2,Nicosia,122
€,Norwich,"['Meal, Inexpensive Restaurant ', 17.8, 12]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.49, 22]","['Domestic Beer (0.5 liter draught) ', 5.93, 18]","['Milk (regular), (1 liter) ', 1.31, 35]","['Rice (white), (1kg) ', 1.96, 76]","['Potato (1kg) ', 1.74, 31]","['Water (1.5 liter bottle) ', 1.14, 28]","['Cigarettes 20 Pack (Marlboro) ', 16.61, 5]","['Cappuccino (regular) ', 3.54, 37]","['One-way Ticket (Local Transport) ', 2.73, 32]","['Apartment (3 bedrooms) in City Centre ', 1898.58, 49]", United Kingdom,52.6292567,1.2978802,1,Norwich,34
€,Nuremberg,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.1, 50]","['Rice (white), (1kg) ', 2.62, 39]","['Potato (1kg) ', 1.55, 44]","['Water (1.5 liter bottle) ', 0.82, 49]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.63, 32]","['One-way Ticket (Local Transport) ', 3.27, 18]","['Apartment (3 bedrooms) in City Centre ', 1419.23, 83]",Germany,49.4521018,11.0766654,2,Nuremberg,58
€,Orleans France,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.0, 60]","['Rice (white), (1kg) ', 1.0, 120]","['Potato (1kg) ', 0.0, 97]","['Water (1.5 liter bottle) ', 0.38, 80]","['Cigarettes 20 Pack (Marlboro) ', 10.0, 21]","['Cappuccino (regular) ', 2.62, 83]","['One-way Ticket (Local Transport) ', 1.7, 49]","['Apartment (3 bedrooms) in City Centre ', 0.0, 162]", France,47.902964,1.909251,2,Orleans,135
€,Oslo,"['Meal, Inexpensive Restaurant ', 19.59, 7]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.07, 9]","['Domestic Beer (0.5 liter draught) ', 9.37, 2]","['Milk (regular), (1 liter) ', 1.94, 2]","['Rice (white), (1kg) ', 2.87, 18]","['Potato (1kg) ', 2.2, 13]","['Water (1.5 liter bottle) ', 1.9, 6]","['Cigarettes 20 Pack (Marlboro) ', 13.63, 11]","['Cappuccino (regular) ', 4.12, 12]","['One-way Ticket (Local Transport) ', 3.58, 9]","['Apartment (3 bedrooms) in City Centre ', 2148.89, 32]", Norway,59.9138688,10.7522454,1,Oslo,7
€,Oviedo,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 2.75, 56]","['Milk (regular), (1 liter) ', 1.01, 59]","['Rice (white), (1kg) ', 1.42, 101]","['Potato (1kg) ', 1.4, 56]","['Water (1.5 liter bottle) ', 0.75, 56]","['Cigarettes 20 Pack (Marlboro) ', 5.2, 55]","['Cappuccino (regular) ', 1.63, 113]","['One-way Ticket (Local Transport) ', 1.2, 54]","['Apartment (3 bedrooms) in City Centre ', 833.33, 153]", Spain,43.3622522,-5.8485461,2,Oviedo,158
€,Padova,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.31, 35]","['Rice (white), (1kg) ', 2.26, 60]","['Potato (1kg) ', 1.74, 31]","['Water (1.5 liter bottle) ', 0.36, 81]","['Cigarettes 20 Pack (Marlboro) ', 6.1, 39]","['Cappuccino (regular) ', 1.58, 117]","['One-way Ticket (Local Transport) ', 1.7, 49]","['Apartment (3 bedrooms) in City Centre ', 1775.0, 57]", Italy,45.4064349,11.8767611,2,Padova,97
€,Palermo,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.22, 41]","['Rice (white), (1kg) ', 2.33, 54]","['Potato (1kg) ', 1.49, 48]","['Water (1.5 liter bottle) ', 0.36, 81]","['Cigarettes 20 Pack (Marlboro) ', 5.5, 48]","['Cappuccino (regular) ', 1.67, 111]","['One-way Ticket (Local Transport) ', 1.4, 53]","['Apartment (3 bedrooms) in City Centre ', 835.56, 152]",Italy,38.11569,13.3614868,2,Palermo,142
€,Palma de Mallorca,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 12.0, 7]","['Domestic Beer (0.5 liter draught) ', 3.75, 44]","['Milk (regular), (1 liter) ', 0.99, 61]","['Rice (white), (1kg) ', 1.4, 103]","['Potato (1kg) ', 1.33, 62]","['Water (1.5 liter bottle) ', 0.55, 73]","['Cigarettes 20 Pack (Marlboro) ', 5.75, 44]","['Cappuccino (regular) ', 2.95, 73]","['One-way Ticket (Local Transport) ', 2.0, 45]","['Apartment (3 bedrooms) in City Centre ', 1616.67, 68]",Spain,39.5696005,2.6501603,2,Palma de Mallorca,99
€,Paris,"['Meal, Inexpensive Restaurant ', 18.0, 11]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 12.0, 7]","['Domestic Beer (0.5 liter draught) ', 7.0, 9]","['Milk (regular), (1 liter) ', 1.39, 30]","['Rice (white), (1kg) ', 2.48, 49]","['Potato (1kg) ', 2.29, 9]","['Water (1.5 liter bottle) ', 0.8, 51]","['Cigarettes 20 Pack (Marlboro) ', 12.5, 13]","['Cappuccino (regular) ', 4.05, 13]","['One-way Ticket (Local Transport) ', 2.15, 43]","['Apartment (3 bedrooms) in City Centre ', 3048.28, 7]",France,48.856614,2.3522219,2,Paris,10
